,title,link,create_time
27,实习 | 中国联通上海市分公司2026暑期实习生项目正式启动,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000981&idx=1&sn=2cb12a0e74d2efbe021ccc41e3d8eeeb&chksm=8bb7dcc9bcc055df6290c72227bc79fd5d07275d92146ce162bca92176ebb0cb103cba540f36#rd,2026-06-18 15:54
28,招聘 | 电信科学技术第一研究所有限公司招聘进行中,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000981&idx=2&sn=4badbc026f3b9535a38651abe16f3092&chksm=8bb7dcc9bcc055dfb98895641a735368404c49f631911137ba96850c8be4487f2bfb17371aaf#rd,2026-06-18 15:54
29,报名 | 告别职业迷茫，陆家嘴研习坊职前培训课启动报名~,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000981&idx=3&sn=55e8ad519f567b0a614ca448969a8aaf&chksm=8bb7dcc9bcc055dfb411fedc272779b7b7a513c3f4cf010ab9267e1ffb50a9a61462a369c244#rd,2026-06-18 15:54
30,招聘 | 广东省域新东方2027届校园招聘提前批,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000981&idx=4&sn=3ac2b449e4a3989ffc79b62e03cad3b1&chksm=8bb7dcc9bcc055df65441651ae3e4e8d1a8d533045ab5c6a3c8e3dbaa63d6db8f96b1c39457a#rd,2026-06-18 15:54
31,招聘 | 博士后研究人员东莞农商银行招聘,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000981&idx=5&sn=d2a14acd4ba318f338d99e40b3644c70&chksm=8bb7dcc9bcc055df0db7f7cc4dd73bbfe65f5aad3231f29723eae83638401b5fcf4f59352407#rd,2026-06-18 15:54
32,实习｜中国农业银行上海市分行2026年度暑期实习生招募正式启动！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000962&idx=1&sn=ede022c45e19e42007111c77360a61d1&chksm=8bb7dcdebcc055c8b1cff646678a09755135765e83a13a5649b5fb99a5415cd9233301cc09c6#rd,2026-06-17 14:04
33,招聘｜上海宇量昇2027届校园招聘启动,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000962&idx=2&sn=83033a18da00d42fe17e2d414d48cf43&chksm=8bb7dcdebcc055c85138e8641c1eb0a99b376d1b4c689c76ca47babbc965bf0af8b008d20706#rd,2026-06-17 14:04
34,招聘｜同济大学科研助理岗位招聘启事,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000962&idx=3&sn=7f1b8f3a6cc5bb45eb05b9a2025640ad&chksm=8bb7dcdebcc055c820137d5d5b3df3ca661fc5b250d554aa14c0cebb7b82cd2d1c6b97e04401#rd,2026-06-17 14:04
35,招聘｜三环集团2027届校园招聘火热来袭！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000962&idx=4&sn=9e9e39b3a20bd0813f4fe0d3d1663d66&chksm=8bb7dcdebcc055c83b8ff419963989eaadca11fdfcae0c2caa6537b7d14d71c63e45a9e81d76#rd,2026-06-17 14:04
36,速看！2026届毕业生集中离校期间毕业去向登记&线下服务窗口安排,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000943&idx=1&sn=1dd0e31b04805765f93718ac31e0e433&chksm=8bb7dcb3bcc055a5b7d804f64101dad50b193649714c87d92c26aa2f88f583ad5da6afeb1d92#rd,2026-06-16 13:40
37,实习 | 1400余个优质实习岗位！2026浦东新区“青年人才直通车”浦东行系列活动火热招募中~,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000943&idx=2&sn=bbf516632947a9abe3319a3d315e844e&chksm=8bb7dcb3bcc055a5c773b1ed43988ccbefe9283290d9c650e2939392a2a295a2ef36ab3ba960#rd,2026-06-16 13:40
38,实习｜Wind2027校招提前批&实习生招聘开启,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000943&idx=3&sn=2920671c8b6e14ca695991c9f7afbcd1&chksm=8bb7dcb3bcc055a57b6c46e6afc1fd6130aa834e8633ec1cb5b5b70e4c8ab40fa64bcd706e1d#rd,2026-06-16 13:40
39,招聘 | 零跑汽车2026届零售管培生最后补录,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000911&idx=1&sn=dcb417f5182c73177487de78d00fb289&chksm=8bb7dc93bcc055858c8e9aa15498924fc1f1633868e7b1caabf1163377615c5c27440f03195d#rd,2026-06-15 14:41
40,实习 | 中国移动2026「梦想+」实习生计划,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000911&idx=2&sn=1fb776f5d2964e8991bae34fe644b4d8&chksm=8bb7dc93bcc055850ca6a90df77b8ad7c6b3c589c7611d76dab92b83fceb12a480d4641ee61a#rd,2026-06-15 14:41
41,实习 | 中国银河证券2027届暑期实习项目,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000911&idx=3&sn=0e71e7c77376253d8a83b6ffefa8541a&chksm=8bb7dc93bcc0558507bf10c318147e003a80009f096018b6cb52e85285932f14a3bdec9889aa#rd,2026-06-15 14:41
42,招聘会 | 上海大学2026届毕业生6月专场网络招聘会,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000889&idx=1&sn=f4dacbd5510302439bbce3881522308b&chksm=8bb7dc65bcc0557315ece05883342cbb7e69c1fcb76947f4e07b5b7a605210bd81822c006e03#rd,2026-06-12 14:54
43,大使 | 中芯国际2027届校园大使招募令！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000889&idx=2&sn=5878f5be0fd3165f9289dbf60fa8b43b&chksm=8bb7dc65bcc0557331db96c8b9b90dc0913e9ade3a7096bda2528ba1de2ddeb93be35a6a58c0#rd,2026-06-12 14:54
44,课程预告 | 教育部“互联网+就业指导”公益直播课：生涯蓄力，求职挫折应对与心理调试,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000889&idx=3&sn=4ff6f4cf6873bf528904bce8a47b03f4&chksm=8bb7dc65bcc055733b235f0445bd2f246089b86d26315409511175b89d87fbf744094107e6c8#rd,2026-06-12 14:54
45,实习 | 中国商飞公司2026年“启航”实习生计划正式启动！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000857&idx=1&sn=0cdcefcb83a540dc4eb588366e545871&chksm=8bb7dc45bcc05553a865b9d19aa79e386095407bde7d400b4b1826be23e56c80c4fe92e7694a#rd,2026-06-11 14:08
46,实习 | 上汽大众2026暑期实习生招聘正式启动！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000857&idx=2&sn=dcd83420ceb73bb374d544f5421641b3&chksm=8bb7dc45bcc055534545f8af21c9aef79ff2bc7de8e9b1e3cd6ea71653cbdb97cfe2fc9aa6a6#rd,2026-06-11 14:08
47,上海大学人工智能素质能力提升实训营（第二期）圆满落幕,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000857&idx=3&sn=4a577e4c8dcaf0100aca48f77bca05ac&chksm=8bb7dc45bcc055539932b4d36b4b1656b61df8cf1b0edcc8baa434720f4ffee843aa4d47f4e6#rd,2026-06-11 14:08
48,就业先锋 | 在多元成长中锚定技术方向：中欧工程技术学院——陆俊豪,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000849&idx=1&sn=216267cbddb482b0c29ebad05da4da9d&chksm=8bb7dc4dbcc0555bb9f2c6bfbafb695bc38f69577fe096436ff1110675aa6b6c04b156c88616#rd,2026-06-10 17:10
49,实习 | 兴业银行2026年暑期实习生招聘正式启动！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000849&idx=2&sn=667ddb84dae79da98763a45c29496670&chksm=8bb7dc4dbcc0555bcbbce5ff3a8e9fc0984f3d935827320adc88f389b5095de3c78bbbe5ae60#rd,2026-06-10 17:10
50,招聘会 | 500+单位，1.5w+岗位，2026届高校毕业生就业“百日冲刺”行动暨“千校万企供需对接会”长三角地区专场招聘活动启动!,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000763&idx=1&sn=75d703841e6e978c9f61bfb8a2f3a2d1&chksm=8bb7dfe7bcc056f1de8d90fe48518d4e9b26b330288eff950754ddf1bc7836b6c844f1397ce3#rd,2026-06-09 14:31
51,招聘 | 云链世界 智创未来 | 千名博士项目对接暨人才引进签约洽谈会—上海站,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000763&idx=2&sn=a3e9fd619ef16a715b31cd05de48b29e&chksm=8bb7dfe7bcc056f197d6673d25c02e9f34ae54791cc0036f7bbff9ee38cb16d1fc6b5118acfb#rd,2026-06-09 14:31
52,招聘 | 河南省科学院激光制造研究所博士研究所招聘公告,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000763&idx=3&sn=ffdf1ffbd520f99be68ea863f55c4c43&chksm=8bb7dfe7bcc056f18d580623e531121dac7a641650e17258313ea906efd63fabaf5ec12ed7fb#rd,2026-06-09 14:31
53,招聘 | 海康威视2026校招，海康微影春招末班车，锁定Offer请速投!,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000750&idx=1&sn=9da5566e2f6d89accbed07eaf1fcd94c&chksm=8bb7dff2bcc056e49ef3bc25464fc2a37533a4e9fe9256384e04a206b0f74dd52f40e1c40ba5#rd,2026-06-08 11:57
54,宣讲 | 6月10日14：00！上海市2026年“未来教师储备与培养计划”种子计划专场宣讲,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000750&idx=2&sn=c792e2afe29dea06987c1294b5503db6&chksm=8bb7dff2bcc056e4e1bd9d8cc07774cc74b696b95b6877ff52fe68acad474b66ee6b465a4d76#rd,2026-06-08 11:57
55,招聘 | 上海市社会保险事业管理中心,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000750&idx=3&sn=3d08b325b9dc303fba788ee4d8d4cca0&chksm=8bb7dff2bcc056e4081181cf1d66d86818992e228be9eda1f58c4c1166044b2b78cfc3d299f8#rd,2026-06-08 11:57
56,大赛 | 第三届现代汽车“Code Faster”急速编程挑战赛正式开启！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000750&idx=4&sn=868cdb282589b7b87940bfd535355f18&chksm=8bb7dff2bcc056e48580fe9d41cd5e8870fa03f9692e34f3e8cfae26848f6e2cbfb6bb53855b#rd,2026-06-08 11:57
57,招聘 | 长鑫存储2027校招提前批正式启动！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000730&idx=1&sn=a0337b303d52909b069593582121c10a&chksm=8bb7dfc6bcc056d0bb6eada869ba4a4b4bb2ee06094cc00cfeb41e8fdf09f20ba6cbd6a2de94#rd,2026-06-05 15:15
58,实习 | 神州信息2027届实习生招聘正式启动！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000730&idx=2&sn=6ca1dd8432ccf6ce9a4d951ac958f5c6&chksm=8bb7dfc6bcc056d0493fa1dd084fa91977cc8bedf97aa9bb66629a6cb6fc9748b63293d78039#rd,2026-06-05 15:15
59,实习 | 返乡践初心 青春助冀行 | 2026河北暑期实习实践岗位火热招募中,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000730&idx=3&sn=987688ab5668deabda5682e64581b773&chksm=8bb7dfc6bcc056d051fd5777b7af7b771b98c70d961b6e5b143759517eb34b132eb3e46c4553#rd,2026-06-05 15:15
60,招聘 | 互联网企业云端招聘月直播带岗活动开启,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000717&idx=1&sn=2b59a3f402fec9d4e554c2fd34acdcd2&chksm=8bb7dfd1bcc056c78fc9d080775e7ffaa5691ac19be35e6bcaf4c896d0c7691cdf3b28e68557#rd,2026-06-04 15:28
61,实习 | 上海国资国企2026年暑期实习正式开始,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000717&idx=2&sn=edf881fa42b9e3a45e6e2adc3915ac0b&chksm=8bb7dfd1bcc056c766354b38beb4057899b056569de60248451efd980510030ecce5a3cc95b8#rd,2026-06-04 15:28
62,宣讲 | 6月11日14：00！MPS技术分享2027校招预热上海大学站,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000717&idx=3&sn=823b186e16d8bccd145b4a278597920a&chksm=8bb7dfd1bcc056c7cd596bcff01be885cd9bd24d50f627da6073edf1016e835993fff09cee51#rd,2026-06-04 15:28
63,招聘 | 北极“芯”计划招聘,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000717&idx=4&sn=7ee7f26a04ab68a3df975c34c02ebcce&chksm=8bb7dfd1bcc056c7b36ffcd6c2ae9f1c04bf5549ec770aa8ba4e4bb9af031680f4b3601e5256#rd,2026-06-04 15:28
64,大赛 | 2026正泰杯青年创新创业大赛全球招募正式启动！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652000717&idx=5&sn=6b5e8ab1c01919b6eee1c9346e7671d3&chksm=8bb7dfd1bcc056c7056d32d0c849f260852811f6f5fa6a26d5bd0a1952a64e9c96a6f9748abe#rd,2026-06-04 15:28
